Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Afghanistan,AFG,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high),LP.LPI.ITRN.XQ,NA,NA
Afghanistan,AFG,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high),LP.LPI.CUST.XQ,NA,NA
Afghanistan,AFG,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high),LP.LPI.TIME.XQ,NA,NA
Afghanistan,AFG,Logistics performance index: Overall (1=low to 5=high),LP.LPI.OVRL.XQ,NA,NA
Afghanistan,AFG,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),LP.LPI.INFR.XQ,NA,NA
Afghanistan,AFG,"Losses due to theft, robbery, vandalism, and arson (% sales)",IC.FRM.CRIM.ZS,NA,1.5
Afghanistan,AFG,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,NA,34.6174196388448
Afghanistan,AFG,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,NA,32.2253064522645
Afghanistan,AFG,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,670000000,540066000
Afghanistan,AFG,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,670474000,478507618
Afghanistan,AFG,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,62.4167380092293,8.3593404906496E-10
Afghanistan,AFG,Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,0.0271449750475037,0.805462808270484
Afghanistan,AFG,Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,NA,16.696727304097
Afghanistan,AFG,Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,NA,1.30806995161068
Afghanistan,AFG,Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,0.0647303251132781,2.90101425684512
Afghanistan,AFG,Merchandise exports to developing economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,15.9360392796738,42.8527195075085
