Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Albania,ALB,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,NA,26.8632735865652
Albania,ALB,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,NA,8.6
Albania,ALB,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,NA,15.8800290701415
Albania,ALB,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,NA,6.6
Albania,ALB,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,NA,100.161096389983
Albania,ALB,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,NA,74.9728522094332
Albania,ALB,Broad money (current LCU),FM.LBL.BMNY.CN,NA,815704632038.633
Albania,ALB,Broad money growth (annual %),FM.LBL.BMNY.ZG,NA,7.66881450177842
Albania,ALB,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,NA,4.11329312233865
Albania,ALB,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,NA,2.05760398570638
Albania,ALB,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,NA,29.6016140813274
Albania,ALB,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,NA,36.4625307571869
Albania,ALB,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,NA,13.5283145971035
Albania,ALB,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,NA,12.2810654199745
Albania,ALB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,NA,22.0513164799375
Albania,ALB,Consumer price index (2005 = 100),FP.CPI.TOTL,NA,108.912669122405
Albania,ALB,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,NA,83.8946041005291
Albania,ALB,Deposit interest rate (%),FR.INR.DPST,NA,6.80274238793673
Albania,ALB,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,NA,NA
Albania,ALB,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,NA,66.0641448385143
Albania,ALB,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,NA,35.2015725109843
Albania,ALB,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,NA,35.0929663001102
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,5.37017464484389,185.599055362119
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,NA,4.36090456348745
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,NA,3.35924241776604
Albania,ALB,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,NA,6.21690032494347
Albania,ALB,Lending interest rate (%),FR.INR.LEND,NA,13.0196427128802
Albania,ALB,Liquid liabilities (M3) as % of GDP,FS.LBL.LIQU.GD.ZS,NA,NA
Albania,ALB,"Listed domestic companies, total",CM.MKT.LDOM.NO,NA,NA
Albania,ALB,Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS,NA,NA
Albania,ALB,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,NA,NA
Albania,ALB,Money (current LCU),FM.LBL.MONY.CN,NA,312519569441.687
Albania,ALB,Money and quasi money (M2) (current LCU),FM.LBL.MQMY.CN,NA,815704632038.633
Albania,ALB,Money and quasi money (M2) as % of GDP,FM.LBL.MQMY.GD.ZS,NA,74.9728522094332
Albania,ALB,Money and quasi money (M2) to total reserves ratio,FM.LBL.MQMY.IR.ZS,NA,4.11329312233865
Albania,ALB,Money and quasi money growth (annual %),FM.LBL.MQMY.ZG,NA,7.66881450177842
Albania,ALB,Net domestic credit (current LCU),FM.AST.DOMS.CN,NA,718777895843.036
Albania,ALB,Net foreign assets (current LCU),FM.AST.NFRG.CN,NA,206641783843.107
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,NA,83.8946041005291
Albania,ALB,"Point-of-sale terminals (per 100,000 adults)",FB.POS.TOTL.P5,NA,NA
Albania,ALB,Quasi money (current LCU),FM.LBL.QMNY.CN,NA,NA
